question,taskid,imgurl,img1,img2,summary,textcontent,heading,mp3url,emailid of submitter,tasksymbol,time taken,price offered,response,response time,Approval ('Y'/'N')
Is this image profane?,arpitjain099_1,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/mf1.jpg,,,,,,,arpitjain099@gmail.com,1,5,3,NA,5,Y
Is this image profane?,arpitjain099_2,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/mf2.jpg,,,,,,,arpitjain099@gmail.com,1,2,3,2,2,Y
Is this image profane?,arpitjain099_3,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/mf3.jpg,,,,,,,arpitjain099@gmail.com,1,1,3,2,1,Y
Is this image profane?,arpitjain099_4,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/mf4.jpg,,,,,,,arpitjain099@gmail.com,1,2,3,2,2,N
Is this image profane?,arpitjain099_5,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/mf5.jpg,,,,,,,arpitjain099@gmail.com,1,2,3,2,2,Y
Which of the two images is better?,arpitjain099_6,,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/football1.jpg,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/football2.jpg,,,,,arpitjain099@gmail.com,2,1,2,2,1,Y
Which of the two images is better?,arpitjain099_7,,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/grafiti1.jpg,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/grafiti2.jpg,,,,,arpitjain099@gmail.com,2,0,2,1,0,Y
Which of the two images is better?,arpitjain099_8,,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/happiness1.jpg,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/happiness2.jpg,,,,,arpitjain099@gmail.com,2,0,2,2,0,N
Which of the two images is better?,arpitjain099_9,,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/music1.jpg,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/music2.jpg,,,,,arpitjain099@gmail.com,2,0,2,2,0,Y
Which of the two images is better?,arpitjain099_10,,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/sunlight1.jpg,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/sunlight2.jpg,,,,,arpitjain099@gmail.com,2,0,2,1,0,Y
Which of these is a book by Rashmi Bansal?,arpitjain099_11,,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/rashmibansaltrue.jpg,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/rashmibansalfalse.jpg,Rashmi bansal is an author who writes books on entrepreneurship,,,,arpitjain099@gmail.com,3,0,2,1,0,Y
Which of these is an mp3 player?,arpitjain099_12,,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/mp3playertrue.jpg,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/mp3playerfalse.jpg,mp3 player is used to play audio files,,,,arpitjain099@gmail.com,3,0,2,2,0,N
Which of these is an ipad cover?,arpitjain099_13,,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/ipadcovertrue.jpg,http://home.iitk.ac.in/~arpitj/thesis/img_cdn/ipadcoverfalse.jpg,iPad is a propreitory product by Apple Inc. ,,,,arpitjain099@gmail.com,3,1,2,1,1,Y
Rate the sentiment expressed in this tweet,arpitjain099_14,,,,,I follow some people just to see how their hypocrisy is different from my hypocrisy.,,,arpitjain099@gmail.com,4,0,1,2,0,N
Rate the sentiment expressed in this tweet,arpitjain099_15,,,,,Jonty Rhodes names his daughter India His daughter will grow up & thank her stars that she wasn't born in Saint Vincent and the Grenadines,,,arpitjain099@gmail.com,4,0,1,1,0,Y
Rate the sentiment expressed in this tweet,arpitjain099_16,,,,,"Bangladesh beats Pakistan in T20 after beating them 3-0 in the ODIs. In their present form, they can beat them in Book Cricket too.",,,arpitjain099@gmail.com,4,-1,1,1,-1,Y
Rate the sentiment expressed in this tweet,arpitjain099_17,,,,,I am a fan of @ShirishKunder ji. RT if you think Shirish ji will get Dada Phalke Award when Kejriwal ji will become the Prime Minister.,,,arpitjain099@gmail.com,4,0,1,2,0,N
Rate the sentiment expressed in this tweet,arpitjain099_18,,,,,"Jonty Rhodes named his daughter ""India"". So technically Anil Kapoor becomes his son in law. #MrIndia",,,arpitjain099@gmail.com,4,0,1,1,0,Y
Rate the sentiment expressed in the comment for this book,arpitjain099_19,,,,"Worst Book Ever. A high-class girl who seems to run-out-of guy-friends accidentally meets a guy filled with lust. That's all there is to know about this book. Being a Chetan Bhagat follower, I was really looking forward for this book because the previous book Revolution 2020 was very much different. Thoroughly disappointed with this book though. Save your money and go for some other book.",,half girlfriend,,arpitjain099@gmail.com,5,0,7,2,0,Y
Rate the sentiment expressed in the comment for this book,arpitjain099_20,,,,all respect and faith i kept on chetan losses totally in a single day after i reading this book. he writing story for bollywood or what? totally useless. i cant keep quiet and my blood pressure is increasing more and more. since it is social so im not using any harsh words. i cant tolerate yaar. now im in mood to kill any of my dear ones or drink more and die. many used to say chetan writes for youth of india. is this indian youth needs?? pure 3rd rated bollywood masala story..........,,half girlfriend,,arpitjain099@gmail.com,5,0,7,1,0,N
